postcode,response,Registered Firearms Owners,Registered Firearms,Largest stockpile,parse sucess
2320,200,1084,4826,126,TRUE
2321,200,722,3022,27,TRUE
2322,200,494,2247,24,TRUE
2323,200,601,2761,59,TRUE
2324,200,751,3278,110,TRUE
2325,200,1405,6825,61,TRUE
2326,200,292,1313,50,TRUE
2327,200,216,922,22,TRUE
2328,200,246,1189,40,TRUE
2329,200,355,1625,52,TRUE
2330,200,1429,6781,145,TRUE
2331,404,,,,
2333,200,889,4092,38,TRUE
2334,200,161,701,32,TRUE
2335,200,478,2121,37,TRUE
2336,200,282,1285,29,TRUE
2337,200,805,3791,68,TRUE
2338,200,200,915,27,TRUE
2339,200,144,605,28,TRUE
2340,200,2827,13665,122,TRUE
2341,200,101,486,24,TRUE
2342,200,83,406,29,TRUE
2343,200,602,2816,32,TRUE
2344,200,131,643,70,TRUE
2345,200,128,525,26,TRUE
2346,200,403,1887,104,TRUE
2347,200,324,1417,25,TRUE
2348,404,,,,
2350,200,1468,7005,71,TRUE
2351,404,,,,
2352,200,322,1524,45,TRUE
2353,200,155,1089,312,TRUE
2354,200,699,3315,59,TRUE
2355,200,155,655,20,TRUE
2356,200,23,89,13,TRUE
2357,200,536,2545,90,TRUE
2358,200,496,2454,73,TRUE
2359,200,170,713,20,TRUE
2360,200,1421,6750,55,TRUE
2361,200,185,887,31,TRUE
2365,200,546,3065,83,TRUE
2369,200,123,542,16,TRUE
2370,200,814,3996,68,TRUE
2371,200,224,1021,25,TRUE
2372,200,690,3255,30,TRUE
2379,200,92,429,40,TRUE
2380,200,912,4013,62,TRUE
2381,200,207,861,27,TRUE
2382,200,195,911,21,TRUE
2386,200,87,419,22,TRUE
2387,200,51,274,18,TRUE
2388,200,370,1716,27,TRUE
2390,200,865,4083,38,TRUE
2395,200,136,531,26,TRUE
2396,200,130,563,21,TRUE
2397,200,83,426,17,TRUE
2398,200,47,250,25,TRUE
2399,200,100,492,17,TRUE
2400,200,810,3799,35,TRUE
2401,200,63,336,27,TRUE
2402,200,274,1219,23,TRUE
2403,200,147,702,21,TRUE
2404,200,252,1199,28,TRUE
2405,200,102,553,37,TRUE
2406,200,108,431,,FALSE
2408,200,76,415,26,TRUE
2409,200,67,381,14,TRUE
2410,200,53,268,21,TRUE
2411,200,14,49,11,TRUE
2415,200,48,203,23,TRUE
2420,200,378,1547,31,TRUE
2421,200,199,822,21,TRUE
2422,200,555,2380,30,TRUE
2423,200,260,1014,31,TRUE
2424,200,75,349,27,TRUE
2425,200,193,800,19,TRUE
2426,200,34,117,18,TRUE
2427,200,105,526,75,TRUE
2428,200,420,1746,35,TRUE
2429,200,791,3347,147,TRUE
2430,200,1106,4699,67,TRUE
2431,200,158,856,38,TRUE
2439,200,168,736,52,TRUE
2440,200,1279,5644,87,TRUE
2441,200,412,1693,44,TRUE
2442,404,,,,
2443,200,324,1424,73,TRUE
2444,200,797,3446,38,TRUE
2445,200,156,613,18,TRUE
2446,200,891,3599,52,TRUE
2447,200,414,1743,19,TRUE
2448,200,203,820,29,TRUE
2449,200,162,728,57,TRUE
2450,200,1210,5686,73,TRUE
2452,200,231,1012,34,TRUE
2453,200,326,1251,25,TRUE
2454,200,283,1213,54,TRUE
2455,200,115,553,45,TRUE
2456,200,348,1368,22,TRUE
2460,200,1730,7829,64,TRUE
2462,200,228,983,55,TRUE
2463,200,381,1710,32,TRUE
2464,200,110,472,18,TRUE
2465,200,19,106,24,TRUE
2466,200,56,293,26,TRUE
2469,200,466,1825,32,TRUE
2470,200,876,3916,45,TRUE
2471,200,178,779,52,TRUE
2472,200,130,492,19,TRUE
2473,200,62,251,11,TRUE
2474,200,494,1975,40,TRUE
2475,200,49,282,33,TRUE
2476,200,86,378,22,TRUE
2477,200,407,2057,237,TRUE
2478,200,399,1378,16,TRUE
2479,200,174,578,19,TRUE
2480,404,,,,
2481,200,1549,5958,51,TRUE
2482,200,145,554,24,TRUE
2483,200,194,681,17,TRUE
2484,200,707,2763,49,TRUE
2485,200,94,376,19,TRUE
2486,200,400,1619,51,TRUE
2487,200,141,547,56,TRUE
2488,200,29,147,26,TRUE
2489,200,75,307,23,TRUE
2490,200,18,82,11,TRUE
2500,200,364,1477,24,TRUE
2502,200,162,731,62,TRUE
2505,200,76,262,18,TRUE
2506,200,119,521,41,TRUE
2508,200,208,877,26,TRUE
2515,200,151,703,30,TRUE
2516,200,78,336,19,TRUE
2517,200,164,718,79,TRUE
2518,200,269,1273,141,TRUE
2519,200,269,1139,43,TRUE
2520,404,,,,
2521,404,,,,
2522,404,,,,
2525,200,180,746,24,TRUE
2526,200,311,1470,58,TRUE
2527,200,491,2022,26,TRUE
2528,200,357,1364,36,TRUE
2529,200,471,1941,30,TRUE
2530,200,644,2933,55,TRUE
2533,200,368,1686,58,TRUE
2534,200,106,466,30,TRUE
2535,200,272,1070,50,TRUE
2536,200,554,2518,45,TRUE
2537,200,452,2058,72,TRUE
2538,200,196,893,21,TRUE
2539,200,522,2320,70,TRUE
2540,200,1415,6462,83,TRUE
2541,200,541,2829,102,TRUE
2545,200,91,390,19,TRUE
2546,200,412,1789,27,TRUE
2548,404,,,,
2549,200,248,976,34,TRUE
2550,200,1378,5511,28,TRUE
2551,404,,,,
2555,200,23,76,12,TRUE
2556,200,211,814,20,TRUE
2557,200,328,1434,65,TRUE
2558,404,,,,
2559,200,9,22,7,TRUE
2560,200,966,4156,84,TRUE
2563,404,,,,
2564,200,84,299,16,TRUE
2565,200,325,1330,34,TRUE
2566,200,222,852,29,TRUE
2567,200,665,2595,54,TRUE
2568,200,60,264,22,TRUE
2569,200,90,397,30,TRUE
2570,200,1385,5968,92,TRUE
2571,200,519,1933,27,TRUE
2572,200,219,925,31,TRUE
2573,404,,,,
2574,200,273,1190,54,TRUE
2575,404,,,,
2576,200,296,1328,89,TRUE
2577,200,829,3612,69,TRUE
2578,200,92,453,19,TRUE
2579,200,377,1540,36,TRUE
2580,200,2220,10216,148,TRUE
2581,200,324,1459,29,TRUE
2582,200,1160,5323,60,TRUE
2583,200,783,3474,33,TRUE
2584,200,81,378,48,TRUE
2585,200,33,211,43,TRUE
2586,200,464,2127,29,TRUE
2587,200,247,1258,46,TRUE
2588,200,56,263,18,TRUE
2590,200,498,2573,132,TRUE
2594,200,921,4285,65,TRUE
2611,200,,,,FALSE
2618,200,116,490,22,TRUE
2619,404,,,,
2620,200,,,,FALSE
2621,200,555,2450,119,TRUE
2622,200,686,3190,74,TRUE
2623,200,87,449,29,TRUE
2624,200,1,2,,FALSE
2625,404,,,,
2626,200,92,405,15,TRUE
2627,200,303,1186,119,TRUE
2628,200,297,1344,54,TRUE
2629,200,115,475,14,TRUE
2630,200,969,4454,158,TRUE
2631,200,146,622,26,TRUE
2632,200,332,1571,31,TRUE
2633,200,74,287,11,TRUE
2640,200,1216,5629,38,TRUE
2641,200,536,2456,49,TRUE
2642,200,675,3016,70,TRUE
2643,200,193,896,47,TRUE
2644,200,319,1536,67,TRUE
2645,200,65,271,12,TRUE
2646,200,545,2713,45,TRUE
2647,200,154,727,16,TRUE
2648,200,408,2445,35,TRUE
2649,200,7,19,7,TRUE
2650,200,2121,10191,101,TRUE
2651,200,85,368,16,TRUE
2652,200,704,3278,92,TRUE
2653,200,339,1507,61,TRUE
2655,200,172,778,29,TRUE
2656,200,128,512,13,TRUE
2658,200,161,783,27,TRUE
2659,404,,,,
2660,200,159,745,44,TRUE
2661,200,6,22,12,TRUE
2663,200,279,1367,43,TRUE
2665,200,325,1471,22,TRUE
2666,200,495,2291,68,TRUE
2668,200,59,302,17,TRUE
2669,200,320,1418,21,TRUE
2671,404,,,,
2672,200,188,913,48,TRUE
2675,200,240,1183,37,TRUE
2678,404,,,,
2680,200,1352,6248,50,TRUE
2681,200,169,746,21,TRUE
2700,200,330,1555,74,TRUE
2701,200,208,940,37,TRUE
2702,200,57,286,23,TRUE
2703,200,54,211,11,TRUE
2705,200,647,3214,54,TRUE
2706,200,92,376,21,TRUE
2707,200,225,1042,25,TRUE
2708,404,,,,
2710,200,1091,5186,27,TRUE
2711,200,432,2265,50,TRUE
2712,200,152,624,25,TRUE
2713,200,242,1054,25,TRUE
2714,200,191,845,52,TRUE
2715,200,215,1240,52,TRUE
2716,200,163,721,18,TRUE
